Gemeente,Gemiddelde verkoopprijs,Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,id
Arnhem,"260,6",202,Arnhem,25,Gelderland,256
Kapelle,"260,6",678,Kapelle,29,Zeeland,257
Geertruidenberg,"259,4",779,Geertruidenberg,30,Noord-Brabant,258
Beverwijk,"258,9",375,Beverwijk,27,Noord-Holland,259
Groningen (gemeente),"258,9",14,Groningen,20,Groningen,260
Venray,"258,4",984,Venray,31,Limburg,261
Oost Gelre,"258,2",1586,Oost Gelre,25,Gelderland,262
Middelburg (Z.),"258,0",687,Middelburg,29,Zeeland,263
Heerenveen,"257,8",74,Heerenveen,21,Friesland,264
Hollands Kroon,"257,5",1911,Hollands Kroon,27,Noord-Holland,265
Sliedrecht,"257,4",610,Sliedrecht,28,Zuid-Holland,266
Roosendaal,"257,3",1674,Roosendaal,30,Noord-Brabant,267
Ridderkerk,"256,6",597,Ridderkerk,28,Zuid-Holland,268
Papendrecht,"256,4",590,Papendrecht,28,Zuid-Holland,269
Doetinchem,"256,4",222,Doetinchem,25,Gelderland,270
Doesburg,"256,3",221,Doesburg,25,Gelderland,271
Leudal,"256,0",1640,Leudal,31,Limburg,272
Bergen op Zoom,"255,7",748,Bergen op Zoom,30,Noord-Brabant,273
Meppel,"255,7",119,Meppel,22,Drenthe,274
Dronten,"255,6",303,Dronten,24,Flevoland,275
Maasgouw,"254,9",1641,Maasgouw,31,Limburg,276
Opsterland,"254,9",86,Opsterland,21,Friesland,277
Zwijndrecht,"252,2",642,Zwijndrecht,28,Zuid-Holland,278
Maassluis,"251,7",556,Maassluis,28,Zuid-Holland,279
Roermond,"251,2",957,Roermond,31,Limburg,280
Gouda,"251,2",513,Gouda,28,Zuid-Holland,281
Steenbergen,"250,8",851,Steenbergen,30,Noord-Brabant,282
Steenwijkerland,"250,4",1708,Steenwijkerland,23,Overijssel,283
Kampen,"250,2",166,Kampen,23,Overijssel,284
Westervoort,"249,7",293,Westervoort,25,Gelderland,285
Twenterand,"249,0",1700,Twenterand,23,Overijssel,286
Beekdaelen,"248,9",1954,Beekdaelen,31,Limburg,287
Hardenberg,"248,4",160,Hardenberg,23,Overijssel,288
Losser,"247,5",168,Losser,23,Overijssel,289
Oude IJsselstreek,"247,0",1509,Oude IJsselstreek,25,Gelderland,290
Sluis,"246,4",1714,Sluis,29,Zeeland,291
Venlo,"245,6",983,Venlo,31,Limburg,292
Zevenaar,"243,5",299,Zevenaar,25,Gelderland,293
Urk,"243,1",184,Urk,24,Flevoland,294
Lelystad,"242,9",995,Lelystad,24,Flevoland,295
Enkhuizen,"242,8",388,Enkhuizen,27,Noord-Holland,296
Roerdalen,"242,1",1669,Roerdalen,31,Limburg,297
Borsele,"241,4",654,Borsele,29,Zeeland,298
Echt-Susteren,"241,3",1711,Echt-Susteren,31,Limburg,299
Zwartewaterland,"241,2",1896,Zwartewaterland,23,Overijssel,300
Westerkwartier,"240,8",1969,Westerkwartier,20,Groningen,301
Bergen (L.),"240,0",893,Bergen (L.),31,Limburg,302
Ooststellingwerf,"238,2",85,Ooststellingwerf,21,Friesland,303
Noord-Beveland,"238,1",1695,Noord-Beveland,29,Zeeland,304
Nissewaard,"237,8",1930,Nissewaard,28,Zuid-Holland,305
Dordrecht,"237,1",505,Dordrecht,28,Zuid-Holland,306
Enschede,"236,6",153,Enschede,23,Overijssel,307
Stein (L),"236,2",971,Stein,31,Limburg,308
Coevorden,"236,0",109,Coevorden,22,Drenthe,309
Tytsjerksteradiel,"235,6",737,Tytsjerksteradiel,21,Friesland,310
Dantumadiel,"234,2",1891,Dantumadiel,21,Friesland,311
Borger-Odoorn,"233,7",1681,Borger-Odoorn,22,Drenthe,312
Smallingerland,"233,5",90,Smallingerland,21,Friesland,313
Hengelo (O.),"233,4",164,Hengelo,23,Overijssel,314
Beesel,"233,4",889,Beesel,31,Limburg,315
Weststellingwerf,"233,4",98,Weststellingwerf,21,Friesland,316
Tholen,"232,9",716,Tholen,29,Zeeland,317
Beek (L.),"231,4",888,Beek,31,Limburg,318
Vlaardingen,"231,4",622,Vlaardingen,28,Zuid-Holland,319
Vaals,"228,7",981,Vaals,31,Limburg,320
Assen,"228,7",106,Assen,22,Drenthe,321
Simpelveld,"227,4",965,Simpelveld,31,Limburg,322
Noordoostpolder,"226,7",171,Noordoostpolder,24,Flevoland,323
Aalten,"226,1",197,Aalten,25,Gelderland,324
Súdwest Fryslân,"225,7",1900,Súdwest-Fryslân,21,Friesland,325
Hulst,"225,3",677,Hulst,29,Zeeland,326
Schiedam,"220,5",606,Schiedam,28,Zuid-Holland,327
Sittard-Geleen,"218,2",1883,Sittard-Geleen,31,Limburg,328
Reimerswaal,"217,4",703,Reimerswaal,29,Zeeland,329
Achtkarspelen,"216,5",59,Achtkarspelen,21,Friesland,330
Harlingen,"216,4",72,Harlingen,21,Friesland,331
Leeuwarden,"215,9",80,Leeuwarden,21,Friesland,332
Winterswijk,"214,0",294,Winterswijk,25,Gelderland,333
Westerwolde,"210,2",1950,Westerwolde,20,Groningen,334
Almelo,"210,0",141,Almelo,23,Overijssel,335
Hoogeveen,"209,7",118,Hoogeveen,22,Drenthe,336
Waadhoeke,"209,1",1949,Waadhoeke,21,Friesland,337
Landgraaf,"208,8",882,Landgraaf,31,Limburg,338
Midden-Groningen,"206,7",1952,Midden-Groningen,20,Groningen,339
Emmen,"205,7",114,Emmen,22,Drenthe,340
Terneuzen,"201,6",715,Terneuzen,29,Zeeland,341
Vlissingen,"197,4",718,Vlissingen,29,Zeeland,342
Noardeast-Fryslân,"194,8",1970,Noardeast-Fryslân,21,Friesland,343
Appingedam,"194,8",3,Appingedam,20,Groningen,344
Loppersum,"192,4",24,Loppersum,20,Groningen,345
Het Hogeland,"188,8",1966,Het Hogeland,20,Groningen,346
Veendam,"187,5",47,Veendam,20,Groningen,347
Stadskanaal,"185,5",37,Stadskanaal,20,Groningen,348
Heerlen,"182,3",917,Heerlen,31,Limburg,349
Kerkrade,"181,7",928,Kerkrade,31,Limburg,350
Oldambt,"175,8",1895,Oldambt,20,Groningen,351
Den Helder,"175,1",400,Den Helder,27,Noord-Holland,352
Brunssum,"174,2",899,Brunssum,31,Limburg,353
Pekela,"161,3",765,Pekela,20,Groningen,354
Delfzijl,"155,1",10,Delfzijl,20,Groningen,355
